URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-women/history/2005-d-i-women/,2005,Rutgers,14T,16
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,UCLA,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Colorado,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Wisconsin,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,British Columbia,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,California-Davis,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Dartmouth,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Florida,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Georgia,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Michigan,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Emory,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Tufts,11T,12
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Swarthmore,13T,13
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Texas,13T,14
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Carleton College,15T,15
https://collegechampionships.usaultimate.org/d1-women/history/2006-d-i-women/,2006,Delaware,15T,16
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,California-Santa Barbara,2,2
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,British Columbia,3T,3
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,UCLA,3T,4
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,California,5T,5
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Carleton College,5T,6
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Northwestern,5T,7
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Wisconsin,5T,8
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,California-San Diego,9T,9
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,NYU,9T,10
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Delaware,11T,11
https://collegechampionships.usaultimate.org/d1-women/history/2007-d-i-women/,2007,Tufts,11T,12
