URL,Year,Team,Web_Finish,List_Finish
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Pennsylvania,10,10
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Ohio State,11,11
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Texas A&M,12,12
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Duke,13,13
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,North Carolina-Wilmington,14,14
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,North Carolina,15,15
https://collegechampionships.usaultimate.org/d1-men/history/2001-d-i-men/,2001,Tufts,16,16
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Stanford,1,1
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Wisconsin,2,2
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Carleton College,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,William and Mary,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,California- Santa Barbara,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Michigan,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,North Carolina- Wilmington,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Tufts,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Cornell,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Illinois,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,California- Santa Cruz,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Colorado,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Iowa,13T,13
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Swarthmore,13T,14
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,George Washington,15T,15
https://collegechampionships.usaultimate.org/d1-men/history/2002-d-i-men/,2002,Texas,15T,16
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Wisconsin,1,1
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Oregon,2,2
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Carleton College,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Colorado,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Brown,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Texas,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,William and Mary,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Illinois,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Georgia,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Michigan,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,North Carolina State,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Penn State,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Ohio State,13,13
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Pennsylvania,14,14
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Dartmouth,15,15
https://collegechampionships.usaultimate.org/d1-men/history/2003-d-i-men/,2003,Williams,16,16
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Colorado,1,1
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,California,2,2
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Brown,3T,3
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Stanford,3T,4
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,California-San Diego,5T,5
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Iowa,5T,6
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,North Carolina State,5T,7
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Wisconsin,5T,8
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Carleton College,9T,9
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Tufts,9T,10
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,George Washington,11T,11
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,William and Mary,11T,12
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Michigan State,13,13
https://collegechampionships.usaultimate.org/d1-men/history/2004-d-i-men/,2004,Illinois,14,14
